Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
raise,V,"['0', '0']",raise the question of promotions ,raise from the dead ,F
fall,V,"['0', '1']",fall by the wayside ,christmas falls on a monday this year ,F
keep,V,"['0', '0']",keep my job for me while i give birth ,keep a diary ,F
defense,N,"['1', '5']",in defense he said the other man started it ,the artillery battered down the defenses ,F
take,V,"['1', '2']",we take all major credit cards ,do you take sugar in your coffee ,T
give,V,"['0', '1']",give homage ,she gave herself to many men ,F
check,V,"['0', '0']",check the brakes ,check the oil in your car once a month ,T
restraint,N,"['2', '0']",the unlawful restraint of trade ,restraints imposed on imports ,F
hold,V,"['2', '6']",he can hold his liquor ,to carry well  ie to hold the head high  with arching neck ,F
visit,V,"['3', '2']",did you ever visit paris ,the principal visited his rage on the students ,F
line,N,"['2', '4']",a nice line of shoes ,they were arrayed in line of battle ,F
make,V,"['3', '0']",what do you make of his remarks ,make a mistake ,F
break,V,"['2', '2']",can you break a hundreddollar bill for me ,the wholesaler broke the container loads into palettes and boxes for local retailers ,T
point,N,"['4', '3']",life has lost its point ,he broke the point of his pencil ,F
product,N,"['6', '6']",that store offers a variety of products ,that store offers a variety of products ,T
cover,V,"['4', '2']",the grant does nt cover my salary ,the president covered the fact that he bugged the offices in the white house ,F
run,V,"['0', '5']",run a subject ,i m not ready to run a marathon ,F
accept,V,"['3', '1']",i can not accept your invitation ,we accept the idea of universal health care ,F
action,N,"['6', '2']",the piano had a very stiff action ,a rifle action ,T
contact,N,"['0', '3']",contact with the pier scraped paint from the hull ,the pilot made contact with the base ,F
carry,V,"['4', '2']",put down 5 and carry 2 ,i am carrying his child ,F
cut,V,"['3', '0']",would you please cut the cake ,cut a hole ,F
gather,V,"['0', '1']",gather some stones ,herman gathered the students together ,T
admit,V,"['1', '2']",to admit a serious thought into the mind ,this pipe admits air ,T
side,N,"['5', '2']",it brought out his better side ,the confederate side was prepared to attack ,F
draw,V,"['0', '2']",draw a weapon ,a ship draws ten feet of water ,F
wall,N,"['1', '3']",a wall of prejudice ,the container s walls were blue ,F
carry,V,"['2', '1']",the airwaves carry the sound ,sound carries well over water ,T
carry,V,"['2', '7']",these bonds carry warrants ,the dog was taught to fetch and carry ,F
turn,V,"['0', '1']",turn the corner ,we turned from socialism to capitalism ,F
carry,V,"['7', '0']",the dog was taught to fetch and carry ,carry a cause ,F
radiate,V,"['1', '2']",spokes radiate from the hub of the wheel ,the heat radiates from a stove ,F
choke,V,"['0', '2']",choke a carburetor ,the pirate choked the sailor to death ,F
church,N,"['5', '1']",there is a lovely little church in the valley ,the church was empty ,T
take,V,"['2', '1']",do you take me for a fool ,i take it you re not going ,T
connect,V,"['4', '2']",operator  could you connect me to the raffles in singapore ,these computers connected well ,F
give,V,"['3', '2']",the french doors give onto a terrace ,the wall gave in ,F
return,N,"['12', '2']",his gross income was enough that he had to file a tax return ,on his return from australia we gave him a welcoming party ,F
action,N,"['4', '6']",he is out of action ,the piano had a very stiff action ,F
head,N,"['5', '7']",tickets are  5 per head ,we will consider performance issues under the head of future improvements ,F
hand,N,"['3', '1']",on the one hand   but on the other hand ,all hands on deck ,F
spring,N,"['8', '6']",the emerging buds were a sure sign of spring ,you can visit me in the spring  when the weather is bearable ,T
describe,V,"['5', '1']",the feeling is difficult to describe  but not unpleasant ,he described what we should do ,T
know,V,"['2', '1']",do you know my sister ,i know him under a different name ,T
turn,V,"['0', '2']",turn your face to the wall ,the people turned against the president when he stole the election ,F
world,N,"['4', '2']",he sailed around the world ,all the world loves a lover ,F
ride,V,"['1', '1']",i ride to work in a bus ,she rode a wave of popularity ,F
take,V,"['1', '0']",we take the times every day ,take action ,F
material,N,"['3', '3']",she was vicepresidential material ,he was university material ,T
work,V,"['4', '2']",this dough does not work easily ,can you work an electric drill ,F
come,V,"['0', '3']",come into contact with a terrorist group ,where did you come from ,F
fire,V,"['5', '1']",in warfare  whoever opens fire first has a greater chance of victory ,surrender fires the cold skepticism ,F
cover,V,"['0', '1']",cover the grave with flowers ,she covered herself with glory ,F
point,N,"['3', '3']",what is the point of discussing it ,he stuck the point of the knife into a tree ,F
play,N,"['5', '2']",it was all done in play ,rain stopped play in the 4th inning ,F
chance,N,"['3', '3']",you take a chance when you let her drive ,we had the chance to meet the president last week ,F
cup,N,"['7', '3']",he swore as the ball rimmed the cup and rolled away ,he drank a cup of coffee ,F
drop,N,"['1', '3']",a drop of each sample was analyzed ,they expected the drop would be successful ,F
focus,V,"['1', '0']",please focus on your studies and not on your hobbies ,focus on passing the test ,T
point,N,"['3', '3']",he broke the point of his pencil ,he stuck the point of the knife into a tree ,T
collision,N,"['1', '6']",the collision of the two ships resulted in a serious oil spill ,three passengers were killed in the collision ,T
take,V,"['2', '3']",do you take me for a fool ,he was often taken to be a man of means ,T
plug,V,"['0', '3']",plug the wall ,he attempted to plug the leaks with some caulk ,F
mean,V,"['9', '2']",the sky is red this morning  does that mean we re in for a storm ,my exhusband means nothing to me ,F
washout,N,"['12', '6']",it was several days after the storm before they could repair the washout and open the road ,from the house they watched the washout of their newly seeded lawn by the water ,F
shell,V,"['1', '3']",nuts shell in falling ,wheat or rye shells in reaping ,T
make,V,"['0', '4']",make lead into gold ,how much do you make a month in your new job ,F
run,V,"['4', '2']",the crowd had to run away from the burning structure with only the clothes on their backs ,who s running for treasurer this year ,F
leave,V,"['0', '8']",leave the flowers that you see in the park behind ,the wound i got in my car accident left behind a massive scar ,T
thing,N,"['6', '3']",how could you do such a thing ,he has a thing about seafood ,F
land,V,"['5', '4']",it can be tricky to land a helicopter ,use the net to land the fish ,T
air,N,"['6', '7']",there was a tension in the air which made me suspect an approaching storm ,open a window and let in some air ,T
make,V,"['0', '1']",make a phone call ,they make a cute couple ,F
house,N,"['1', '3']",the house gets a percentage of every bet ,he has a house on cape cod ,F
custody,N,"['6', '4']",he was mistreated while in police custody ,the suspect is in custody ,F
respect,N,"['10', '5']",he is an intellectual giant  and i have great respect for him ,be sure to give my respects to the dean ,F
stain,V,"['4', '0']",people knew how to stain glass a beautiful blue in the middle ages ,stain this table a beautiful walnut color ,T
run,V,"['3', '2']",the sale will run for ten days ,the book runs 655 pages ,T
strike,V,"['1', '2']",please strike this remark from the record ,we must strike the enemy s oil fields ,F
take,V,"['3', '3']",i used to take the sunday times ,you ca nt take credit for this ,F
continue,V,"['3', '3']",we can not continue several servants any longer ,the bad weather continued for two more weeks ,F
play,V,"['0', '0']",play the stock market ,play cards ,F
loaf,N,"['1', '1']",sugar loaf ,a loaf of cheese ,T
carry,V,"['2', '1']",you must carry your camping gear ,amanda carried the package ,T
sum,N,"['1', '1']",the sum of all our troubles did not equal the misery they suffered ,the sum of forty pounds ,F
see,V,"['7', '1']",he is blind  he can not see ,i saw him laughing ,T
hit,V,"['3', '2']",the temperature could hit 110 f tomorrow ,the movie hits theaters in december ,T
cut,V,"['1', '1']",she cut the deck for a long time ,soap cuts grease ,F
work,N,"['8', '3']",mastering a second language requires a lot of work ,he arrived at work early today ,F
experience,N,"['3', '3']",he recalled the experience vividly ,it was an experience he would not soon forget ,T
take,V,"['3', '0']",i used to take the sunday times ,take action ,F
focus,V,"['1', '1']",please focus on your studies and not on your hobbies ,we focused on it ,T
thread,N,"['1', '8']",a thread of smoke climbed upward ,from the air the road was a grey thread ,T
cut,V,"['1', '0']",she cut the deck for a long time ,cut a disk ,F
come,V,"['0', '2']",come into contact with a terrorist group ,the shoes came untied ,T
coordinate,V,"['0', '0']",coordinate his actions with that of his colleagues ,coordinate the painters  masons  and plumbers ,T
place,N,"['1', '5']",your place or mine ,if you were in my place what would you do ,F
return,N,"['5', '9']",they set out on their return to the base camp ,i expect the house to be spotless upon my return ,T
law,N,"['3', '1']",there is a law against kidnapping ,by law  one is not allowed to own a wallaby in new york city ,F
tumble,V,"['5', '1']",wash in warm water and tumble dry ,they tumbled the teams with no apparent pattern ,F
stream,N,"['0', '1']",stream of consciousness ,two streams of development run through american history ,T
play,N,"['1', '4']",the play lasted two hours ,they made a futile play for power ,F
credit,N,"['3', '9']",i give you credit for owning up to your mistake ,he arrived five minutes late  but to his credit he did work an extra ten minutes at the end of his shift ,T
check,N,"['6', '6']",he paid all his bills by check ,he asked the waiter for the check ,F
drill,V,"['2', '0']",do nt drill here  there s a gas pipe ,drill a small hole to start the screw in the right direction ,T
recognition,N,"['1', '2']",increasing recognition that diabetes frequently coexists with other chronic diseases ,a sudden recognition of the problem he faced ,T
remember,V,"['2', '1']",can you remember her phone number ,i remember the concert clearly  but i ca nt recollect why i was there ,T
room,N,"['0', '6']",room to pass ,there was nt that much elbow room in the aircraft ,T
microprocessor,N,"['5', '1']",a disk drive contains a microprocessor to handle the internal functions of the drive ,a microprocessor functions as the central processing unit of a microcomputer ,T
piece,N,"['4', '3']",it was a nice piece of work ,he needed a piece of granite ,F
move,V,"['1', '1']",to move in a matter ,she moved the queen closer to the centre of the board ,F
position,N,"['6', '6']",chief of staff is the secondhighest position in the army ,atheists do not enjoy a favorable position in american life ,T
see,V,"['2', '3']",let s see  which movie should we see tonight ,how nice to see you again ,F
head,N,"['5', '3']",his horse won by a head ,he is two heads taller than his little sister ,T
make,V,"['1', '1']",to make like a deer caught in the headlights ,he made as if to punch him  but they both laughed and shook hands ,T
reduce,V,"['0', '0']",reduce an image ,reduce one s standard of living ,F
work,V,"['3', '7']",he could not work the math problem ,this unpleasant situation is nt going to work itself out ,T
take,V,"['0', '3']",take an opportunity ,the escaped convict took to the hills ,F
pack,V,"['3', '0']",you had better pack your swollen ankle with ice ,pack the faucet ,F
integrity,N,"['5', '10']",they admired his scrupulous professional integrity ,he expects to find in us the common honesty and integrity of men of business ,T
part,N,"['5', '2']",he wanted to feel a part of something bigger than himself ,the rear part of the house ,F
edge,N,"['4', '4']",his voice had an edge to it ,she sat on the edge of the bed ,F
take,V,"['1', '1']",i take aspirin every day to thin my blood ,hitler took the baltic republics ,F
take,V,"['4', '0']",tomorrow the doctor will take the cast off her arm ,take the gun from your pocket ,T
create,V,"['2', '3']",you can create the color orange by mixing yellow and red ,the company was created 25 years ago ,T
be,V,"['2', '4']",i may be an hour ,when will the meeting be ,F
touch,N,"['2', '5']",the cooling touch of the night air ,this piano has a wonderful touch ,F
bum,N,"['4', '2']",that mechanic s a bum  he could nt fix a yoyo ,a lazy bum ,T
pull,V,"['0', '0']",pull one s horse to a stand ,pull the ball ,F
catch,V,"['2', '4']",did you catch a cold ,the fashion did not catch ,F
see,V,"['3', '1']",we had to see a psychiatrist ,he saw action in viet nam ,F
make,V,"['0', '2']",make advances ,she ll make a fine president ,F
realization,N,"['2', '4']",a growing realization of the risk involved ,the victory was the realization of a whole year s work ,F
know,V,"['6', '1']",it is vital that he not know ,she knew of our plan ,T
head,N,"['3', '6']",he stuck his head out the window ,they tracked him back toward the head of the stream ,F
touch,N,"['4', '6']",he longed for the touch of her hand ,this room needs a woman s touch ,F
fail,V,"['6', '6']",where do today s public schools fail ,the attempt to rescue the hostages failed miserably ,T
stick,V,"['0', '2']",stick the corner of the sheet under the mattress ,the friends stuck together through the war ,F
occupy,V,"['5', '1']",the young prince will soon occupy the throne ,he occupies two rooms on the top floor ,F
range,V,"['2', '2']",my students range from very bright to dull ,the instruments ranged from tuba to cymbals ,T
go,V,"['5', '2']",it s your turn  go ,the gun went  bang  ,F
practice,N,"['1', '4']",the practice of the law ,i took over his practice when he retired ,T
dress,V,"['0', '1']",dress the windows ,marlene dressed herself ,F
meeting,N,"['6', '3']",they came together in a chance meeting on the way home from work ,next year the meeting will be in chicago ,T
fill,N,"['11', '4']",do nt feed him any more  he s had his fill ,she had heard her fill of gossip ,T
polish,V,"['0', '1']",polish your social manners ,he polished up the chrome until it gleamed ,F
style,N,"['2', '2']",a cartilaginous style ,the anal styles of insects ,T
treat,V,"['3', '2']",i like to treat myself to a day at a spa when i am depressed ,grandmother always treated us to the circus ,T
go,V,"['5', '5']",these luxuries all had to go under the khmer rouge ,this chair has got to go ,T
return,V,"['0', '2']",return to your native land ,the professor returned to his teaching position after serving as dean ,T
give,V,"['0', '1']",give thought to ,i gave two sons to the war ,F
school,N,"['8', '3']",he did nt miss a single day of school ,he walked to school every morning ,F
day,N,"['2', '6']",after that day she never trusted him again ,i ve been here for 2 days and a bit ,T
strike,V,"['0', '3']",strike ` z  on the keyboard ,the horse finally struck a pace ,F
make,V,"['0', '1']",make a cake ,he made twenty bucks playing poker last night ,F
break,V,"['0', '3']",break a branch from a tree ,the business partners broke over a tax question ,F
academy,N,"['1', '2']",the academy of music ,the american academy of arts and sciences ,F
head,N,"['7', '6']",i ve got to go to the head ,this song keeps going through my head ,F
keep,V,"['0', '1']",keep appointments ,we kept to the original conditions of the contract ,T
ground,N,"['6', '5']",they fought to regain the lost ground ,the worm crawls through the ground ,F
spread,N,"['5', '1']",they put out quite a spread ,the spread between lending and borrowing costs ,F
lob,V,"['0', '2']",lob the tennis ball ,the guard lobbed a pass just over the defender ,T
draw,V,"['0', '2']",draw a conclusion ,the doctors drew medical supplies from the hospital s emergency bank ,F
fall,V,"['4', '2']",the hills around here fall towards the ocean ,his eyes fell ,F
business,N,"['2', '5']",we do business all over the world ,he bought his brother s business ,F
buildup,N,"['4', '2']",i envied his rapid buildup of assets ,a military buildup in preparation for the invasion ,T
object,N,"['2', '1']",the sole object of her trip was to see her children ,the object of the verb ,F
catch,V,"['0', '0']",catch one s breath ,catch some sleep ,T
order,N,"['4', '2']",it was on the order of a mile ,law and order ,F
replace,V,"['3', '1']",the insurance will replace the lost income ,he replaced the old razor blade ,T
breath,N,"['2', '3']",his sour breath offended her ,the child s breath came quickly and unevenly ,F
break,V,"['0', '0']",break the code ,break a branch from a tree ,F
run,V,"['3', '5']",the horse will run the preakness next year ,i m not ready to run a marathon ,T
hand,N,"['1', '2']",his hand was illegible ,a good hand ,T
shock,N,"['4', '8']",he had an unruly shock of black hair ,the train hit the buffers with a great shock ,F
piece,N,"['5', '3']",he s packin  a piece ,he needed a piece of granite ,F
coordinate,V,"['0', '0']",coordinate our efforts ,coordinate his actions with that of his colleagues ,T
assume,V,"['3', '2']",mr jones will assume the position of a lifeguard until a proper replacement is found ,the queen assumed the stately robes ,F
shock,N,"['5', '4']",subjects received a small electric shock when they made the wrong response ,it came as a shock to learn that he was injured ,F
end,N,"['1', '1']",the end of the year ,one end of the box was marked ` this side up  ,F
quality,N,"['9', '0']",this school is wellknown for having teachers of high quality ,quality of life is usually determined by health  education  and income ,T
cast,V,"['1', '0']",who cast this beautiful movie ,cast a vote ,F
get,V,"['2', '3']",we ll get them ,she did nt get the joke ,F
hold,V,"['1', '0']",to hold true ,hold that position behind the trees ,F
pay,V,"['3', '1']",crime does nt pay ,it pays to go through the trouble ,T
smile,N,"['3', '4']",she had a smile on her face ,he always puts a smile on my face ,T
age,N,"['4', '6']",it s been an age since we last saw you ,it was replaced because of its age ,T
glimpse,N,"['7', '4']",from the window he could catch a glimpse of the lake ,i only got a glimpse of the car  so i can tell you the colour but not the registration number ,F
open,V,"['0', '2']",open a business ,the door opened ,F
product,N,"['6', '1']",that store offers a variety of products ,the product of 2 and 3 is 6 ,F
change,N,"['3', '5']",she brought a change in her overnight bag ,the product is undergoing a change in order to improve it ,F
lie,V,"['2', '2']",do nt lie to your parents ,the snow lies on the roof ,F
demand,V,"['1', '2']",i demand an explanation ,this position demands a lot of personal sacrifice ,F
art,N,"['6', '3']",he said that architecture is the art of wasting space beautifully ,how great thou art ,F
line,N,"['2', '6']",a dedicated line ,the letter consisted of three short lines ,F
check,V,"['1', '1']",please check each name on the list ,she checked for an instant and missed a step ,F
lead,N,"['2', '5']",a good lead for a job ,they did nt follow our lead ,F
get,V,"['4', '3']",the operator could nt get kobe because of the earthquake ,what did you get at the toy store ,F
roll,V,"['0', '2']",roll your hair around your finger ,the thunder rolled ,F
invitation,N,"['3', '3']",she threw the invitation away ,she was an invitation to trouble ,F
figure,N,"['4', '4']",he cut a fine figure ,he cut a sorry figure standing there in the rain ,T
go,V,"['8', '5']",this violinist is as good as juilliardtrained violinists go ,it s your turn  go ,F
